incomplete_rate,Re,Ri,EP,ERI,RI,ARI
0.0,0.5802313354363827,0.0,0.5920221404248122,0.3580809693378181,0.5262905393903236,0.07190794433387573
0.01,0.7916403785488959,0.0,0.5899217992265504,0.30892569160873995,0.55026519774984,0.08441058862269411
0.02,0.5792849631966351,0.0,0.5920192892602265,0.35722081891764773,0.5260929838881025,0.07159922117281063
0.03,0.7906940063091482,0.0,0.5890460518578786,0.30905007328716444,0.5495010772613296,0.08275430972856683
0.04,0.7905888538380652,0.0,0.5888172903104821,0.30866101633161236,0.5491706754698619,0.08212811843709533
0.05,0.7901156677181914,0.0,0.5884794028401308,0.30902177129970587,0.5489729651609113,0.0816324191519902
0.06,0.7900105152471083,0.0,0.588286596713306,0.30874123939041753,0.5487099706425623,0.08112802315345306
0.07,0.7900630914826499,0.0,0.5882945483979082,0.30861098058507985,0.5486771460870747,0.0810844993506309
0.08,0.7905362776025237,0.0,0.5888269042096989,0.3088454022041935,0.5492366673671671,0.08223146872972589
0.09,0.7906414300736068,0.0,0.5891087159823968,0.30939712785968804,0.5496666928179463,0.08303720163253552
